Movement_Date,GLN_Code,EAN_Code,Base_Unit_Code,Stock,Transit,Shipped,OOS
8/13/2020,4080398539419,4790685004561,9500739441,453,1728,288,0
8/13/2020,4080398539419,4790685004528,9500736916,1387,432,135,0
8/13/2020,4080398539419,4790685004585,9500736917,1647,864,243,0
8/13/2020,4080398539419,4790685004622,9500736917,1197,270,36,0
8/13/2020,4080398539419,4790685005035,9500736937,45,0,0,0
8/13/2020,4080398539419,4790685006551,9500733337,1008,0,0,0
8/13/2020,4080398539419,4790685006800,9500738679,1639,0,20,0
8/13/2020,4080398539419,4790685002420,9500777987,2369,3456,480,0
8/13/2020,4080398539419,4790685009313,9500753387,52417,13392,6219,0
8/13/2020,4080398539419,4790685010814,9500754147,3492,864,18,0
8/13/2020,4080398539419,4790685019550,9500306461,612,504,72,0
8/13/2020,4080398539419,4790685019928,9500785880,205,0,0,0
8/13/2020,4080398539419,4790685053558,9500305897,90038,0,1900,0
8/13/2020,4080398539419,4790685054163,9500318810,0,162,0,27
8/13/2020,4080398539419,4790685054484,9500395894,413,0,0,0
8/13/2020,4080398539419,4790685054551,9500395895,0,0,0,0
8/13/2020,4080398539419,4790685043992,9500765956,793,1143,117,0
8/13/2020,4080398539419,4790685500508,9500188046,15106,0,1200,0
8/13/2020,4080398539419,4790685500406,9500188101,102,0,0,0
8/13/2020,4080398539419,4790685508050,9500184495,31921,0,640,0
8/13/2020,4080398539419,4790685551453,9500188950,9413,0,2013,0
8/13/2020,4080398539419,4790685402052,9500188107,22899,0,1704,0
8/13/2020,4080398539419,4790685402501,9500184411,3570,4800,1300,0
8/13/2020,4080398539419,4790685430544,9500750956,152194,6912,14019,0
8/13/2020,4080398539419,4790685483151,1011075037,5920,0,10359,0
8/13/2020,4080398539419,4790685483425,9500184418,9861,0,260,0
8/13/2020,4080398539419,4790685483200,9500188110,19348,0,336,0
8/13/2020,4080398539419,4790685552456,9500773538,3209,1728,576,0
8/13/2020,4080398539419,4790685552500,9505073046,3661,0,921,0
8/13/2020,4080398539419,4790685525450,9500188106,9518,0,144,0
8/13/2020,4080398539419,4790685525424,9500105764,9840,0,80,0
8/13/2020,4080398539419,4790685663501,9500167987,8098,0,0,0
